"BeneficialUse","R3172ParameterName","CriterionLabel","IR_MLID","R317Descrp","IR_Lat","IR_Long","ASSESS_ID","AU_NAME","BEN_CLASS","AsmntAggFun","SSC_StartMon","SSC_EndMon","SSC_MLID","SampleCount","ExcCount","IR_Cat"
"1C","Arsenic","NA","UTAHDWQ_WQX-4923810","Pineview Reservoir","41.25522309","-111.8399354","UT-L-16020102-014_00","Pineview Reservoir","1C,2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4924650","All tributaries to Pineview Reservoir","41.3135","-111.84093","UT16020102-006_00","North Fork Ogden River","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4924660","All tributaries to Pineview Reservoir","41.287722337","-111.777165318","UT16020102-009_00","Middle Fork Ogden River","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4924670","All tributaries to Pineview Reservoir","41.247163497","-111.763269633","UT16020102-010_00","South Fork Ogden River-1","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4924680","All tributaries to Pineview Reservoir","41.249104182","-111.7599384","UT16020102-010_00","South Fork Ogden River-1","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4925910","Lost Creek Reservoir","41.185777451","-111.398533184","UT-L-16020101-003_00","Lost Creek Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4926130","Echo Reservoir","40.964115836","-111.428534561","UT-L-16020101-001_00","Echo Reservoir","1C,2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4926400","Weber River and tributaries, from Stoddard diversion to headwaters","40.911894081","-111.406312408","UT16020101-017_00","Weber River-8","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4927250","Weber River and tributaries, from Stoddard diversion to headwaters","40.752894672","-111.374329516","UT16020101-021_00","Weber Upper Tributaries-4","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4930010","Green River and tributaries, from confluence with Colorado River to state line except as listed below:","38.190264829","-109.889841891","UT14060008-002_00","Green River-5","1C,2B,3B,4","NA","NA","NA","NA",14,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4930150","Green River and tributaries, from confluence with Colorado River to state line except as listed below:","38.526644472","-109.993458022","UT14060008-002_00","Green River-5","1C,2B,3B,4","NA","NA","NA","NA",5,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4930524","Huntington Creek and tributaries, from Highway U-10 crossing to headwaters","39.338859731","-110.961892477","UT14060009-004_00","Huntington Creek-2","1C,2B,3A,4","NA","NA","NA","NA",6,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4934500","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.16356901","-110.392373643","UT14060003-017_00","Duchesne River-4","1C,2B,3A,4","NA","NA","NA","NA",14,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4935500","Upper Stillwater Reservoir","40.561444222","-110.701050927","UT-L-14060003-296_00","Upper Stillwater Reservoir","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4935530","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.58375","-110.70368","UT14060003-020_00","Rock Creek Upper","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4935740","Lake Fork River and tributaries, from confluence with Duchesne River to headwaters","40.208845976","-110.117375913","UT14060003-008_00","Lake Fork-1","1C,2B,3A,4","NA","NA","NA","NA",12,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4935800","Lake Fork Canal from Dry Gulch Canal Diversion to Moon Lake","40.258292395","-110.222097479","UT14060003-008_00","Lake Fork-1","1C,2B,3E,4","NA","NA","NA","NA",13,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4935920","Moon Lake","40.563303441","-110.488768046","UT-L-14060003-112_00","Moon Lake","1C,2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4935970","Lake Fork River and tributaries, from confluence with Duchesne River to headwaters","40.60327521","-110.520164148","UT14060003-021_00","Moon Lake Tributaries","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936050","Starvation Reservoir","40.19217671","-110.4430696","UT-L-14060004-006_00","Starvation Reservoir","1C,2A,3A,4","NA","NA","NA","NA",15,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936120","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.240509257","-110.411542856","UT14060003-017_00","Duchesne River-4","1C,2B,3A,4","NA","NA","NA","NA",1,0,"idNE"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936250","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.18707","-110.770101","UT14060004-007_00","Red Creek Middle","1C,2B,3A,4","NA","NA","NA","NA",12,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936300","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.133591058","-111.025401111","UT14060004-010_00","Strawberry River-3","1C,2B,3A,4","NA","NA","NA","NA",8,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936510","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.229676574","-111.115724096","UT14060004-013_00","Strawberry-4","1C,2B,3A,4","NA","NA","NA","NA",5,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936530","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.239123129","-111.182115875","UT14060004-013_00","Strawberry-4","1C,2B,3A,4","NA","NA","NA","NA",11,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936610","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.116070733","-111.176553385","UT14060004-013_00","Strawberry-4","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936620","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.233293","-111.188232","UT14060004-013_00","Strawberry-4","1C,2B,3A,4","NA","NA","NA","NA",10,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936650","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.237451091","-111.185450083","UT14060004-014_00","Strawberry River Upper","1C,2B,3A,4","NA","NA","NA","NA",14,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936655","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.25726989","-111.212738877","UT14060004-014_00","Strawberry River Upper","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936685","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.366258784","-111.225259894","UT14060004-014_00","Strawberry River Upper","1C,2B,3A,4","NA","NA","NA","NA",7,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936710","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.281064931","-111.226306164","UT14060004-014_00","Strawberry River Upper","1C,2B,3A,4","NA","NA","NA","NA",14,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936770","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.465782049","-110.832666707","UT14060003-019_00","North Fork Duchesne","1C,2B,3A,4","NA","NA","NA","NA",14,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4936790","Duchesne River and tributaries, from Myton Water Treatment Plant intake to headwaters","40.462171006","-110.833772605","UT14060003-018_00","West Fork Duchesne","1C,2B,3A,4","NA","NA","NA","NA",14,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4937120","Green River and tributaries, from confluence with Colorado River to state line except as listed below:","40.203294786","-109.702918977","UT14060001-001_00","Green River-2 Tributaries","1C,2B,3B,4","NA","NA","NA","NA",15,0,"FS"
"1C","Arsenic","NA","UTAHDWQ_WQX-4937550","Steinaker Reservoir","40.507458625","-109.53180737","UT-L-14060010-006_00","Steinaker Reservoir","1C,2A,3A,4","NA","NA","NA","NA",1,0,"idNE"
